French,English
partie,part
histoire,history
seulement,only
demande,request
genre,kind
frère,brother
laisser,let
mettre,to put
aucun,no
arrivé,come
bébé,baby
longtemps,long time
heures,hours
place,square
compris,understood
savais,knew
attention,Warning
pourrais,could
donner,give
leurs,their
donné,given
corps,body
endroit,place
façon,way
dont,whose
trouve,find
main,hand
côté,side
pouvoir,power
vieux,old
sois,be
tiens,here
enfant,child
point,point
venu,came
suite,after
pardon,sorry
vers,towards
minutes,minutes
mis,placed
mari,husband
enfin,finally
espère,hope
attendez,Wait
parti,left
dirait,would say
terre,Earth
donne,given
fin,end
croire,believe
gros,large
plutôt,rather
aura,will have
filles,girls
jouer,to play
bureau,office
